Text,Link,Date
Delhi government school teachers to receive disaster management training,https://www.indiatoday.in/education-today/news/story/delhi-government-school-teachers-to-receive-disaster-management-training-2586135-2024-08-22,2024-08-22
Fact Check: 2018 clip of Imam praying amid earthquake resurfaces after recent deadly tremors in Indonesia,https://www.indiatoday.in/fact-check/story/fact-check-amid-earthquake-resurfaces-after-recent-deadly-tremors-in-indonesia-2300482-2022-11-22,2022-11-22
"Volcano erupts in Russia after massive earthquake, scientists warn of a stronger one",https://www.indiatoday.in/world/story/russia-earthquake-shiveluch-volanco-eruption-kamchatka-ebeko-2584340-2024-08-19,2024-08-19
Volcano erupts after 7.2-magnitude earthquake hits Russia's Kamchatka region,https://www.indiatoday.in/world/story/russias-kamchatka-earthquake-tsunami-warning-magnitude-moscow-us-2583976-2024-08-18,2024-08-18
"Video: Magnitude 6.3 earthquake jolts Taiwan, second in 24 hours",https://www.indiatoday.in/world/story/taiwan-large-earthquake-epicentre-taipei-less-than-24-hours-no-damage-2582916-2024-08-16,2024-08-16
Japan issues first-ever 'megaquake' advisory: Prepare for the worst,https://www.indiatoday.in/world/story/japan-issues-first-megaquake-advisory-2580212-2024-08-10,2024-08-10
"2 massive earthquakes hit Japan within a minute, tsunami alert in several areas",https://www.indiatoday.in/world/story/earthquake-japan-tsunami-alert-2579016-2024-08-08,2024-08-08
Videos from Japan show what a 6.9 magnitude earthquake does,https://www.indiatoday.in/world/video/japan-earthquake-2579200-2024-08-08,2024-08-08
Fact Check: Video of storm aftermath in Scotland FALSELY shared as Iceland quakes,https://www.indiatoday.in/fact-check/story/video-of-storm-aftermath-in-scotland-falsely-shared-as-iceland-quakes-2462722-2023-11-14,2023-11-14
Earthquake of magnitude 5.7 strikes Panama-Costa Rica border region,https://www.indiatoday.in/world/story/earthquake-of-magnitude-57-strikes-panama-costa-rica-border-region-2570449-2024-07-23,2024-07-23
Earthquake of 7.3 magnitude strikes Antofagasta in Chile,https://www.indiatoday.in/world/story/earthquake-of-73-magnitude-strikes-antofagasta-in-chile-2568857-2024-07-19,2024-07-19
"Fact Check: No, this photo DOESN’T show Eid clothes being left on a Palestinian child's grave",https://www.indiatoday.in/fact-check/story/eid-clothes-being-left-on-a-palestinian-childs-grave-video-2559624-2024-06-28,2024-06-28
"8 injured after 7.0 magnitude quake, aftershocks trigger landslides in Peru",https://www.indiatoday.in/world/story/peru-magnitude-earthquake-coast-injured-deaths-reported-tsunami-threats-2559578-2024-06-28,2024-06-28
Earthquake of magnitude 3.9 hits Rajasthan's Sikar district,https://www.indiatoday.in/india/story/earthquake-in-rajasthan-sikar-india-pakistan-south-asia-39-richter-scale-2550828-2024-06-09,2024-06-09
Know about 5 recent earthquakes around the world,https://www.indiatoday.in/visualstories/information/know-about-five-recent-earthquakes-around-the-world-139636-30-05-2024,9636-30-05
"IIT Roorkee, Uttarakhand collaborate on 'BhuDEV' for earthquake preparedness",https://www.indiatoday.in/education-today/news/story/iit-roorkee-uttarakhand-collaborate-on-bhudev-for-earthquake-preparedness-2543338-2024-05-24,2024-05-24
Shaping tomorrow's grid: A visionary journey in transmission engineering,https://www.indiatoday.in/education-today/how-i-made-it/story/shaping-tomorrows-grid-a-visionary-journey-in-transmission-engineering-2539775-2024-05-16,2024-05-16
6.4-magnitude earthquake strikes near Mexico-Guatemala border,https://www.indiatoday.in/world/story/earthquake-mexico-guatemala-border-64-magnitude-2538349-2024-05-13,2024-05-13
Earthquake of magnitude 6.1 rocks Indonesia's Java,https://www.indiatoday.in/world/story/earthquake-of-magnitude-63-rocks-indonesias-java-2532545-2024-04-27,2024-04-27
"Multiple earthquakes hit Taiwan's capital city, strongest reaching 6.3 magnitude",https://www.indiatoday.in/world/story/taiwan-new-earthquake-magnitude-hualien-latest-buildings-shaken-2530211-2024-04-22,2024-04-22
When scientists triggered mini-earthquake in a lab,https://www.indiatoday.in/science/story/when-scientists-triggered-mini-earthquake-in-a-lab-2530120-2024-04-22,2024-04-22
"Earthquake of 6.4 magnitude jolts Japan's Ehime, Kochi",https://www.indiatoday.in/world/story/japan-ehime-kochi-earthquake-bungo-channel-2528529-2024-04-18,2024-04-18
"Once fired for being ‘too playful’, Labrador leads Taiwan earthquake rescue ops",https://www.indiatoday.in/trending-news/story/labrador-retriever-roger-once-fired-for-being-too-playful-leads-taiwan-earthquake-rescues-2525942-2024-04-11,2024-04-11
4.3 magnitude earthquake hits Afghanistan,https://www.indiatoday.in/world/story/earthquake-hits-afghanistan-2524259-2024-04-07,2024-04-07
"Deaths in Taiwan earthquake rise to 13, aftershocks hinder rescue ops",https://www.indiatoday.in/world/story/deaths-in-taiwan-earthquake-rise-to-13-aftershocks-hinder-rescue-ops-2524106-2024-04-06,2024-04-06
Iran vows massive retaliation over Israeli airstrike in Syria; Taiwan earthquake,https://www.indiatoday.in/programme/video/iran-vows-massive-retaliation-over-israeli-airstrike-in-syria-taiwan-earthquake-2524086-2024-04-06,2024-04-06
UN Security Council meeting disrupted by earthquake in New York City,https://www.indiatoday.in/world/video/un-security-council-meeting-disrupted-by-earthquake-in-new-york-city-2523973-2024-04-06,2024-04-06
"New Jersey earthquake strongest in over 240 years, 11 aftershocks follow",https://www.indiatoday.in/world/story/new-jersey-new-york-city-rare-earthquake-strongest-in-more-than-240-years-aftershocks-usgs-2523969-2024-04-06,2024-04-06
Rare earthquake of magnitude 4.7 strikes New York City,https://www.indiatoday.in/world/story/earthquake-magnitude-55-new-york-new-jersey-dead-injured-us-america-2523884-2024-04-05,2024-04-05
"Two Indians missing after Taiwan earthquake safe, says government",https://www.indiatoday.in/india/story/indians-missing-taiwan-earthquake-israel-iran-consulate-attack-mea-2523503-2024-04-05,2024-04-05
Earthquake of magnitude 5.3 hits Himachal's Chamba district,https://www.indiatoday.in/india/story/magnitude-53-earthquake-hits-himachal-pradesh-chamba-district-2523463-2024-04-04,2024-04-04
Watch: How Taiwan driver escaped boulders raining during earthquake,https://www.indiatoday.in/world/story/taiwan-earthquake-dashcam-raining-boulders-car-video-dead-injured-2523236-2024-04-04,2024-04-04
Video: Brave nurses protect babies at hospital as deadly earthquake hits Taiwan,https://www.indiatoday.in/trending-news/story/brave-nurses-protect-babies-taiwan-hospital-amid-deadly-earthquake-strongest-25-years-74-magnitude-2523214-2024-04-04,2024-04-04
Why Taiwan is a hotspot for deadly earthquakes,https://www.indiatoday.in/science/story/taiwan-earthquake-ring-of-fire-pacific-ocean-tectonic-plates-2523199-2024-04-04,2024-04-04
Earthquake of magnitude 6 strikes Japan day after Taiwan disaster,https://www.indiatoday.in/world/story/japan-earthquake-magnitude-day-after-taiwan-disaster-2523072-2024-04-04,2024-04-04
"9 dead in Taiwan earthquake, injuries top 1,000; 38 hotel workers missing",https://www.indiatoday.in/world/story/taiwan-earthquake-news-death-toll-injuries-latest-updates-hotel-workers-missing-buildings-2523076-2024-04-04,2024-04-04
"Trembling bridges, collapsing buildings: Taiwan grapples with powerful earthquake",https://www.indiatoday.in/world/video/trembling-bridges-collapsing-buildings-taiwan-grapples-with-powerful-earthquake-2523048-2024-04-04,2024-04-04
Earthquake of magnitude 5.5 hits China’s Qinghai,https://www.indiatoday.in/world/story/earthquake-of-magnitude-55-hits-chinas-qinghai-2523007-2024-04-04,2024-04-04
"Watch: Office building shakes, bridge sways as massive earthquake jolts Taiwan",https://www.indiatoday.in/world/video/office-building-shakes-bridge-sways-massive-earthquake-jolts-taiwan-multiple-dead-injured-2522869-2024-04-03,2024-04-03
PM Modi expresses solidarity with people of earthquake-hit Taiwan,https://www.indiatoday.in/india/story/taiwan-earthquake-update-pm-modi-expresses-solidarity-with-people-2522865-2024-04-03,2024-04-03
"Taiwan earthquake could lead to delay in iPhone, MacBook production and launches",https://www.indiatoday.in/technology/news/story/taiwan-earthquake-could-possibly-lead-to-delay-in-iphone-and-macbook-production-2522855-2024-04-03,2024-04-03
"7 dead, over 700 injured as big earthquake hits Taiwan, strongest in 25 years",https://www.indiatoday.in/world/story/magnitude-of-75-earthquake-strikes-japan-tsunami-warning-issued-2522510-2024-04-03,2024-04-03
"Watch: Tilted buildings, massive landslides in Taiwan as 7.4 earthquake strikes",https://www.indiatoday.in/world/video/watch-tilted-buildings-massive-landslides-in-taiwan-as-74-quake-strikes-2522523-2024-04-03,2024-04-03
7.5 magnitude earthquake hit Taiwan; Delhi High Court to hear Kejriwal's plea,https://www.indiatoday.in/programme/first-up/video/75-magnitude-earthquake-hit-taiwan-delhi-high-court-to-hear-kejriwals-plea-2522637-2024-04-03,2024-04-03
"Magnitude of 6.1 earthquake strikes Japan, no tsunami warning issued",https://www.indiatoday.in/world/story/magnitude-61-earthquake-strikes-japan-no-tsunami-warning-issued-2522029-2024-04-02,2024-04-02
Earthquake of 5.7 magnitude hits Greece,https://www.indiatoday.in/world/story/earthquake-greece-richter-scale-no-injuries-or-damage-reported-2520818-2024-03-29,2024-03-29
Multiple earthquakes over magnitude 4.0 hit Afghanistan in 24 hours,https://www.indiatoday.in/world/story/earthquakes-afghanistan-tremors-magnitude-richter-scale-2520560-2024-03-29,2024-03-29
SS Rajamouli and family experience earthquake in Japan,https://www.indiatoday.in/movies/regional-cinema/story/ss-rajamouli-and-family-experience-earthquake-in-japan-2517523-2024-03-21,2024-03-21
Earthquake of 5.5 magnitude hits Pakistan,https://www.indiatoday.in/world/story/earthquake-of-55-magnitude-hits-pakistan-india-china-south-asia-afghanisatn-2517031-2024-03-20,2024-03-20
Earthquake of 5.2 magnitude hits Kargil in Ladakh,https://www.indiatoday.in/india/story/jammu-and-kashmir-kargil-ladakh-earthquake-today-magnitude-epicentre-2504340-2024-02-19,2024-02-19
